hotel_name,city_name,country_name,rating,reviews_count,price,info_1,info_2,info_3,info_4,info_5,info_6,info_7
Seaside Escape Hotel,San Diego,USA,4.6,2150,189,Free Wifi,Beachfront,Pool,Free parking,Restaurant,Spa,Fitness center
Downtown Comfort Inn,San Diego,USA,4.1,890,129,Free Wifi,Free parking,Breakfast included,,Air conditioning,,
Harbor View Suites,San Diego,USA,4.4,1320,205,Free Wifi,Ocean view,Kitchen,Pool,Free parking,,
Airport Sleep & Go,San Diego,USA,3.9,640,99,Free Wifi,Airport shuttle,Breakfast included,,Free parking,,
Sunset Boutique Stay,San Diego,USA,4.7,540,249,Free Wifi,Boutique,Pool,Restaurant,Bar,Spa,
Coastal Breeze Resort,Miami,USA,4.5,4100,219,Free Wifi,Beachfront,Pool,Spa,Restaurant,Bar,Fitness center
City Center Plaza,Miami,USA,4.2,2100,179,Free Wifi,Free parking,Breakfast included,,Pool,,
Budget Bay Motel,Miami,USA,3.7,980,79,Free Wifi,Free parking,,,,,
Luxury Skyline Hotel,New York,USA,4.8,8200,329,Free Wifi,City view,Fitness center,Spa,Restaurant,Bar,
Midtown Business Hotel,New York,USA,4.3,3650,259,Free Wifi,Business center,Fitness center,,Restaurant,,
Central Park Lodge,New York,USA,4.0,1740,210,Free Wifi,Near subway,Breakfast included,,Air conditioning,,
Golden Gate Stay,San Francisco,USA,4.4,2900,239,Free Wifi,Free parking,Fitness center,,Restaurant,,
Bay Bridge Budget Hotel,San Francisco,USA,3.8,1120,119,Free Wifi,Breakfast included,,,Free parking,,
Tech District Suites,San Francisco,USA,4.6,1560,279,Free Wifi,Kitchen,Fitness center,Pool,Free parking,,
Old Town Heritage Hotel,Goa,India,4.2,980,95,Free Wifi,Pool,Free parking,Restaurant,,,
